# 사이트 과목|코드|개념|상황 질문|구분 설명
05-01|4.1.3.3|효과 검증|도입 후 매출이 늘었지만 같은 기간의 할인 행사 영향을 함께 살펴 시스템의 기여를 판단한다. 이 활동은?|관측된 변화 전체를 IT 도입의 효과로 단정하지 않고 다른 요인을 검토한다.
05-01|4.1.4.1|ERP|회사가 구매·재고·생산·회계 자료를 통합하여 부서마다 같은 거래를 다시 입력하는 일을 줄인다. 이 시스템은?|기업의 주요 자원과 업무 정보를 통합해 관리한다.
05-01|4.1.4.1|CRM|회사가 고객의 문의·구매·접촉 이력을 모아 고객별 관계와 서비스를 관리한다. 이 시스템은?|고객과의 관계를 지속적으로 관리하고 고객 이해를 돕는다.
05-01|4.1.4.1|SCM|제조사가 공급업체·공장·물류사의 수요와 공급 정보를 연결하여 재고와 납기를 조정한다. 이 관리는?|공급망 전반의 물자·정보 흐름을 조정한다.
05-01|4.1.4.2|사고 관리|로그인 서비스가 멈추자 운영팀이 우선 우회 방법으로 이용을 복구한다. 가장 직접적인 ITSM 활동은?|서비스 중단의 영향을 줄이고 정상 서비스를 신속히 복구한다.
05-01|4.1.4.2|문제 관리|반복 장애의 원인을 조사하고 다시 발생하지 않도록 영구적인 해결책을 찾는다. 이 ITSM 활동은?|사고의 원인을 관리하여 재발을 예방한다.
05-01|4.1.4.2|서비스 수준 협약|서비스 제공자와 고객이 가용성 목표·지원 시간·측정 방법을 문서로 합의한다. 이 합의는?|서비스의 수준과 책임 및 측정 기준을 당사자 사이에 정한다.
05-01|4.2.1.1|디지털 전환|회사가 종이 양식을 화면으로 옮기는 데 그치지 않고 고객 주문부터 배송까지 업무와 서비스 방식을 재설계한다. 이 변화는?|디지털 기술을 활용해 업무 운영과 고객가치 제공 방식을 바꾼다.
05-01|4.2.2.1|서비스형 소프트웨어|회사가 직접 프로그램 서버를 운영하지 않고 제공자의 응용 서비스를 인터넷으로 이용한다. 이 제공 방식은?|제공자가 운영하는 응용 소프트웨어를 서비스로 이용한다.
05-01|4.2.2.2|업무 적합성 평가|AI 상담 도입 전에 반복 문의 비중과 잘못된 답변의 피해를 조사해 적용할 업무를 고른다. 이 판단은?|기술 사용 자체보다 업무 목적·위험·성과에 맞는지를 평가한다.
05-01|4.2.2.2|사람의 검토 절차|AI가 작성한 환불 거절 답변을 고객에게 보내기 전에 담당자가 정책과 사실을 확인한다. 이 운영 장치는?|자동 생성 결과의 오류나 영향을 사람이 검토하고 책임 있는 결정을 돕는다.
05-02|4.3.1.1|개인정보 최소 수집|도서 대출 알림에 필요한 연락처만 받고 업무에 필요하지 않은 가족 정보를 신청서에서 뺀다. 이 원칙은?|업무 목적을 달성하는 데 필요한 범위로 수집을 줄인다.
05-02|4.3.1.1|목적 제한|배송을 위해 받은 주소를 별도 검토 없이 전혀 다른 광고 사업에 재사용하지 않기로 했다. 이 원칙은?|정보의 이용 목적과 적절한 처리 근거를 확인한다.
05-02|4.3.1.1|투명성|서비스가 어떤 자료를 수집하며 무엇에 쓰는지 사용자가 이해할 수 있는 말로 알린다. 이 원칙은?|처리 과정과 목적을 이해하고 확인할 수 있도록 정보를 제공한다.
05-02|4.3.1.1|설명 가능성|대출 심사 시스템이 불리한 결과를 낸 주요 근거를 담당자가 이해할 수 있게 제시한다. 이 특성은?|결정에 영향을 준 근거를 사람이 해석할 수 있게 한다.
05-02|4.3.1.1|이의 제기 절차|자동 심사 결과가 잘못되었다고 생각하는 이용자가 검토를 요청하고 답을 받을 통로를 마련했다. 이 절차는?|영향받은 사람이 결과에 문제를 제기하고 재검토를 받을 수 있게 한다.
05-02|4.3.1.1|집단별 공정성 점검|채용 모델의 전체 정확도만 보지 않고 연령 집단별 탈락 오류율도 비교한다. 이 점검은?|평균 지표에 가려진 집단별 불리한 영향을 확인한다.
05-02|4.3.1.1|대표성 검토|음성 인식 성능을 평가하면서 특정 지역의 발음 자료가 거의 없음을 발견했다. 우선 필요한 데이터 검토는?|학습·평가 자료가 실제 대상 집단의 다양성을 적절히 포함하는지 확인한다.
05-02|4.3.1.1|접근성|시각 장애 학생도 수강 신청을 할 수 있게 입력란 이름과 키보드 조작을 지원한다. 이 개선의 목적은?|장애 등의 차이와 관계없이 서비스를 이용할 수 있도록 장벽을 줄인다.
05-02|4.3.1.1|기밀 유지|개발자가 업무 중 알게 된 고객의 비공개 자료를 개인 포트폴리오에 싣지 않는다. 이 책임은?|업무로 얻은 비공개 정보를 승인 없이 노출하지 않는다.
05-02|4.3.1.1|이해충돌 공개|평가위원이 입찰 업체와 개인적인 사업 관계가 있음을 밝히고 평가 참여를 조정한다. 이 행동은?|개인적 이해가 공정한 업무 판단에 영향을 줄 가능성을 알리고 관리한다.
05-02|4.3.1.1|정직한 성과 보고|개발자가 실패한 테스트를 지우지 않고 성공률 계산에 포함하여 실제 성능을 보고한다. 이 행동은?|불리한 결과도 숨기지 않아 판단의 근거를 왜곡하지 않는다.
05-02|4.3.1.1|전문 역량의 한계 고지|담당자가 검증하지 못한 기술에 대해 확실하다고 답하지 않고 확인이 필요한 부분을 밝힌다. 이 책임은?|자신의 지식과 검증 범위를 정확하게 전달한다.
05-02|4.3.1.1|책임 소재 명확화|자동 승인으로 피해가 생겼을 때 공급사와 운영사가 서로 책임을 미루지 않도록 검토·결정 담당자를 미리 정한다. 이 활동은?|기술이 관여한 판단에서도 역할과 책임이 사라지지 않도록 한다.
05-02|4.3.1.1|위험 사전 평가|학생 행동을 예측하는 기능을 출시하기 전에 오판이 낙인과 불이익으로 이어질 가능성을 살핀다. 이 활동은?|배포 전에 예상되는 피해와 영향을 검토해 예방 대책을 정한다.
05-02|4.3.1.1|다크 패턴 방지|서비스가 가입은 쉽게 하면서 해지 버튼을 숨기던 화면을 고쳐 선택을 동등하게 제시한다. 이 개선은?|이용자의 의도를 왜곡하거나 선택을 방해하는 설계를 줄인다.
05-02|4.3.1.1|명확한 동의 안내|서비스가 길고 어려운 문장 대신 이용자가 이해할 수 있게 선택의 내용과 영향을 안내한다. 이 개선은?|이용자가 무엇을 허용하는지 이해하고 의사를 표현하도록 돕는다.
05-02|4.3.1.1|재식별 위험 검토|이름을 지운 자료라도 다른 공개 자료와 결합하면 개인을 알아낼 수 있는지 확인한다. 이 점검은?|직접 식별자가 없어도 다른 정보의 조합으로 개인이 드러날 수 있음을 검토한다.
05-02|4.3.1.1|보관 기간 관리|업무가 끝난 뒤에도 자료를 무기한 쌓지 않고 필요한 보관 근거와 기간을 정해 정리한다. 이 활동은?|정보를 계속 보유할 필요와 근거를 확인하고 불필요한 보유를 줄인다.
05-02|4.3.1.1|취약점의 책임 있는 전달|연구자가 발견한 결함을 즉시 악용 방법과 함께 공개하기 전에 담당 조직에 알려 대응을 조율한다. 이 행동은?|피해를 줄일 수 있도록 결함 정보의 전달과 대응을 조정한다.
05-02|4.3.1.1|공익 고려|납품 기한이 촉박해도 안전 결함이 사용자의 생명에 영향을 줄 수 있어 담당자가 문제를 알리고 시정을 요구한다. 이 판단은?|일정이나 조직의 이익 외에 사회와 사용자의 안전을 고려한다.
05-02|4.3.2.1|저작자 표시|허용된 조건으로 자료를 이용하면서 원래 만든 사람과 출처를 명시한다. 이 행위는?|저작물의 창작자와 출처를 알린다. 표시만으로 모든 이용이 허용되는 것은 아니다.
05-02|4.3.2.1|이용 허락 범위 확인|이미지를 쓸 수 있다는 안내를 보았지만 상업적 이용과 수정도 허용되는지 따로 확인한다. 이 검토는?|허락의 대상·목적·수정·배포 등 조건을 확인한다.
05-02|4.3.2.1|라이선스 고지 보존|외부 코드 배포 조건에 명시된 저작권·허락 문구를 배포물에 함께 넣는다. 이 준수 행동은?|해당 라이선스가 요구하는 고지 조건을 유지한다.
05-02|4.3.2.1|2차적 이용 조건 검토|원본 그림을 바꿔 홍보물로 쓰기 전에 수정과 변형에 대한 허락 조건을 확인한다. 이 검토는?|원본 이용과 수정물 이용의 조건이 같다고 단정하지 않는다.
05-02|4.3.2.1|권리 귀속 확인|외주 제작물을 전달받았지만 누가 어떤 권리를 갖는지는 계약에서 따로 확인한다. 이 확인은?|파일 전달이나 대금 지급만으로 모든 권리가 자동 이전된다고 단정하지 않는다.
05-02|4.3.2.1|상표|고객이 상품이나 서비스의 출처를 구별하도록 쓰는 명칭·표지를 검토한다. 관련 권리 유형은?|상품이나 서비스의 출처를 식별하는 표지와 관련된다.
05-02|4.3.2.1|특허|개발팀이 기술적 발명에 관한 권리와 공개된 청구 범위를 조사한다. 관련 권리 유형은?|기술적 발명을 대상으로 하며 구체적인 보호 범위는 청구 내용 등에 따라 판단한다.
05-02|4.3.2.1|디자인|제품 외관의 형상·모양·색채 등 시각적 형태에 관한 권리를 조사한다. 관련 권리 유형은?|물품 등의 외관에 나타나는 시각적 디자인을 대상으로 한다.
05-02|4.3.2.1|영업비밀 관리|회사가 비공개 제조 방법에 접근 권한과 비밀 관리 절차를 적용한다. 이 활동은?|가치 있는 비공개 정보를 실제로 비밀로 관리한다.
05-02|4.3.2.1|무단 복제 방지|유료 강의 자료를 구입한 직원이 사내 전체 복사 전에 배포 허용 범위를 확인한다. 이 행동은?|자료를 열람할 권한과 복제·배포할 권한을 구별한다.
06-01|4.4.1.1|프로젝트 종료 조건|팀이 새 매장 시스템을 인수받고 교육을 끝내면 구축 활동을 종료하기로 정했다. 이것은 무엇을 명확히 한 것인가?|한시적 작업인 프로젝트가 언제 완료되는지 판단할 기준이다.
06-01|4.4.1.2|책임 배정표|프로젝트의 각 업무마다 수행자·최종 책임자·협의 대상·통보 대상을 정리한다. 이 표는?|역할 간 책임의 누락과 중복을 줄이기 위해 업무별 책임을 표시한다.
06-01|4.4.1.2|이해관계자 분석|사용자·발주자·운영부서가 프로젝트에서 원하는 것과 영향력을 조사한다. 이 활동은?|영향을 주거나 받는 사람과 조직의 기대·관심·영향을 파악한다.
06-01|4.4.2.1|단계 종료 검토|다음 개발 단계로 넘어가기 전에 현재 단계의 결과물과 위험을 확인한다. 이 검토는?|단계별 진입·종료 기준에 따라 다음 진행 여부를 판단한다.
06-01|4.5.1.1|작업분류체계|프로젝트가 제공할 결과물을 관리 가능한 작은 작업 묶음으로 나눈다. 이 체계는?|프로젝트 범위를 계층적으로 분해해 빠짐없이 파악하도록 돕는다.
06-01|4.5.1.1|범위 기준선|승인된 제공 범위와 작업분류체계를 이후 변경 요청의 비교 기준으로 삼는다. 이 기준은?|승인된 범위를 정의하고 범위 변경 통제의 기준으로 사용한다.
06-01|4.5.1.1|범위 통제|추가 요청을 바로 구현하지 않고 일정·비용 영향을 검토한 뒤 승인된 변경만 반영한다. 이 관리는?|합의된 범위에 대한 변경을 평가하고 통제한다.
06-01|4.5.2.1|주공정|프로젝트의 작업 연결 가운데 총 소요 시간이 가장 길고 전체 완료 시점을 결정하는 경로를 찾는다. 이 경로는?|선후 관계와 작업 기간으로 결정되는 최장 경로이며 지연이 완료 일정에 직접 영향을 준다.
06-01|4.5.2.1|일정 단축의 병행 수행|원래 순서대로 하던 작업 일부를 겹쳐 수행하지만 재작업 위험이 늘 수 있다. 이 단축 방식은?|작업을 병행하여 기간을 줄이는 방식으로 의존성과 재작업 위험을 고려한다.
06-01|4.5.2.1|자원 평준화|한 담당자에게 같은 날 작업이 몰려 일부 작업 시점을 조정한다. 이 일정 조정은?|자원 제약에 맞춰 작업 일정을 조정하며 완료일이 늦어질 수도 있다.
06-01|4.5.3.1|품질 보증|결과물의 결함 수만 세지 않고 팀의 검토·시험 절차가 적절히 작동하는지 점검한다. 이 활동은?|품질을 달성할 프로세스가 적절하게 적용되는지 확인하고 개선한다.
06-01|4.5.3.1|품질 통제|납품 직전 결과물을 검사해 정해진 품질 기준에 맞는지 확인한다. 이 활동은?|실제 산출물과 결과를 측정·검사하여 품질 요건 충족을 확인한다.
06-01|4.5.4.1|위험 완화|핵심 인력의 이탈 가능성에 대비해 문서화와 교차 교육을 실시한다. 이 대응은?|위험이 발생할 가능성이나 발생 시 영향을 줄이는 조치다.
06-01|4.5.4.1|비상 대응 계획|서버 납품이 지연되는 조건이 발생하면 임시 환경을 사용하기로 미리 정한다. 이 계획은?|특정 위험이 실제로 발생했을 때 실행할 대응을 준비한다.
06-01|4.5.5.1|성과 차이 분석|계획한 일정·비용과 실제 진행을 비교하고 차이의 원인을 찾아 조정한다. 이 활동은?|기준 계획과 실제 성과의 차이를 측정하고 원인을 검토한다.
06-02|4.4.2.2|독자 분석|설명서를 쓰기 전에 운영자와 최종 사용자가 각각 무엇을 알고 무엇을 해야 하는지 확인한다. 이 작업은?|독자의 배경지식·목적·행동을 파악해 내용과 표현을 정한다.
06-02|4.4.2.2|용어 정의|문서에서 쓰는 '장애'가 단순 오류 로그인지 실제 서비스 중단인지 처음에 명확히 적는다. 이 장치는?|같은 단어를 서로 다르게 이해하는 일을 줄인다.
06-02|4.4.2.2|문서 목적 명시|안내문 첫 문장에 이 문서를 읽고 계정 복구를 완료해야 한다고 적는다. 이 작성 행동은?|독자가 문서로 달성해야 하는 일을 먼저 알려준다.
06-02|4.4.2.2|사실과 추정 구분|보고서에서 로그로 확인한 중단 시각과 아직 검증하지 않은 원인 가설을 따로 표시한다. 이 표현 원칙은?|확인된 내용과 불확실한 판단을 혼동하지 않게 한다.
06-02|4.4.2.2|결론 우선 전달|긴 기술 검토 보고서의 앞부분에 승인받아야 할 선택과 핵심 이유를 먼저 적는다. 이 구성은?|독자가 필요한 판단을 먼저 파악하고 세부 근거를 이어 읽도록 한다.
06-02|4.4.2.2|행동 요청 명확화|메일에 '검토 바랍니다'만 쓰지 않고 담당자·확인 항목·회신 기한을 적는다. 이 개선은?|누가 무엇을 언제까지 해야 하는지 구체화한다.
06-02|4.4.2.2|전제조건 명시|설치 절차 맨 앞에 필요한 권한과 지원 환경을 적는다. 이 설명은?|절차를 성공적으로 수행하기 전에 갖춰야 하는 조건을 알린다.
06-02|4.4.2.2|작업 순서 기술|사용 안내서를 기능 목록 대신 로그인·자료 선택·저장 순서로 구성한다. 이 구성은?|독자가 실제로 수행할 행동의 순서를 따라 설명한다.
06-02|4.4.2.2|예상 결과 제시|버튼을 누르라는 지시 다음에 정상적으로 표시되어야 할 화면과 메시지를 적는다. 이 안내는?|독자가 작업의 성공 여부를 스스로 확인하게 한다.
06-02|4.4.2.2|오류 복구 안내|인증 실패 메시지에 실패 사실뿐 아니라 다시 확인할 항목과 문의 방법을 함께 적는다. 이 개선은?|문제가 생긴 뒤 사용자가 취할 다음 행동을 알려준다.
06-02|4.4.2.2|재현 절차|개발자에게 오류를 알리면서 환경·입력·실행 순서·기대 결과·실제 결과를 기록한다. 이 기록의 핵심은?|다른 사람이 동일한 조건에서 문제를 다시 확인할 수 있게 한다.
06-02|4.4.2.2|회의 결정 기록|회의록에 발언만 나열하지 않고 결정한 내용과 담당자·기한을 적는다. 이 기록은?|회의 이후 실행과 책임 확인에 필요한 합의 사항을 남긴다.
06-02|4.4.2.2|미결 사항 기록|회의에서 결론 내지 못한 쟁점과 추가 확인 담당자를 따로 남긴다. 이 기록은?|해결되지 않은 문제를 합의된 결정과 구분해 후속 조치로 연결한다.
06-02|4.4.2.2|결정 근거 기록|팀이 선택한 데이터베이스뿐 아니라 고려한 대안과 선택 이유·제약을 문서에 남긴다. 이 기록은?|나중에 조건이 바뀌었을 때 결정의 배경을 이해하고 재검토하게 한다.
06-02|4.4.2.2|변경 이력|문서의 언제·무엇이·왜 바뀌었는지를 버전별로 적는다. 이 기록은?|문서의 변경 내용과 경위를 추적하게 한다.
06-02|4.4.2.2|단일 문서 원본 관리|같은 규격서를 여러 메일 첨부로 돌리다가 하나의 관리 위치를 정하고 모두 그 문서를 참조한다. 이 개선은?|서로 다른 사본 때문에 최신 내용이 어긋나는 문제를 줄인다.
06-02|4.4.2.2|수치 단위 명시|응답시간이 '200'이라고만 쓰인 표에 ms와 측정 조건을 추가한다. 이 개선은?|숫자의 의미를 해석할 단위와 조건을 제공한다.
06-02|4.4.2.2|비교 조건 통일|성능 비교표에서 서버 사양과 부하 조건을 동일하게 맞춘 결과를 제시한다. 이 작성 원칙은?|다른 조건 때문에 생긴 차이를 성능 차이로 오해하지 않게 한다.
06-02|4.4.2.2|시각 자료의 범례|구성도에서 실선과 점선의 의미를 옆에 설명한다. 이 요소는?|그림의 기호·색·선이 무엇을 뜻하는지 알려준다.
06-02|4.4.2.2|출처와 근거 표시|검토 문서의 주장을 뒷받침하는 자료의 위치와 확인 시점을 적는다. 이 작성 행동은?|독자가 주장을 검증하고 근거의 적용 범위를 확인하게 한다.
06-02|4.4.2.2|구체적인 사례|사용자에게 추상적인 '중복 요청'을 설명한 뒤 결제 버튼을 두 번 누른 상황을 함께 제시한다. 이 방법은?|개념이 실제로 어떤 상황을 가리키는지 이해하도록 돕는다.
06-02|4.4.2.2|이해 확인|설명을 마친 뒤 상대에게 적용할 절차를 자신의 말로 다시 설명해 달라고 요청한다. 이 행동은?|단순히 들었는지가 아니라 의미와 행동을 이해했는지 확인한다.
06-02|4.4.2.2|전문용어 풀어쓰기|'RTO'를 처음 쓸 때 장애 후 서비스를 복구해야 하는 목표 시간이라고 바로 설명한다. 이 방법은?|필요한 전문용어를 유지하면서 독자가 이해할 뜻을 함께 제공한다.
06-02|4.4.2.2|범위 명시|안내문에 이번 배포가 바꾸는 기능과 적용 대상 버전을 명확히 적는다. 이 작성 행동은?|설명이 적용되는 대상과 범위를 분명하게 한다.
06-02|4.4.2.2|운영 인수인계|개발팀이 운영팀에 점검 절차·장애 대응·담당 연락 경로·남은 문제를 정리해 전달한다. 이 문서의 목적은?|다음 담당자가 서비스를 계속 운영하는 데 필요한 정보를 전달한다.
06-02|4.4.2.2|장애 공지|사용자에게 서비스 중단 범위·현재 확인된 상태·다음 안내 시점을 알린다. 이 소통은?|영향받는 사용자가 현재 상황과 후속 안내를 이해하게 한다.
06-02|4.4.2.2|대안 비교표|의사결정자가 여러 제품을 검토할 수 있도록 비용·기능·제약을 같은 항목으로 나란히 제시한다. 이 표현은?|대안을 동일한 기준으로 비교하게 한다.
06-02|4.4.2.2|논리적 문서 구조|원인 설명이 여러 곳에 흩어진 문서를 배경·문제·원인·대응 순서로 다시 배열한다. 이 개선은?|독자가 앞선 내용을 근거로 다음 내용을 이해하도록 흐름을 정리한다.
06-02|4.4.2.2|피드백 반영|사용자들이 반복해서 오해한 설치 단계에 설명과 확인 예시를 추가한다. 이 문서 관리 활동은?|실제 독자의 어려움을 근거로 문서의 내용을 개선한다.
06-02|4.4.2.2|검토 요청의 초점 지정|동료에게 문서를 보내면서 이번에는 계산식과 전제의 타당성을 확인해 달라고 명시한다. 이 요청 방식은?|검토할 범위와 기대하는 피드백을 분명하게 한다.
